VARIABLE: LHC.BCTDC.A6R4.B1:BEAM_INTENSITY
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: Charges
Description: Beam intensity

Timestamp (UTC_TIME),Value
2010-06-06 11:22:00.000,39165840000
2010-06-06 11:23:00.000,3.8847529411765E10
2010-06-06 11:24:00.000,3.7854352941177E10
2010-06-06 11:25:00.000,3.9000705882353E10
2010-06-06 11:26:00.000,36575280000
2010-06-06 11:27:00.000,3.7216941176471E10
2010-06-06 11:28:00.000,3.8017411764706E10
2010-06-06 11:29:00.000,3.7557882352941E10
2010-06-06 11:30:00.000,35340480000
2010-06-06 11:31:00.000,3.5897647058824E10
2010-06-06 11:32:00.000,3.5245411764706E10
2010-06-06 11:33:00.000,3.7330588235294E10
2010-06-06 11:34:00.000,37079280000
2010-06-06 11:35:00.000,37230480000
2010-06-06 11:36:00.000,3.8373176470588E10
2010-06-06 11:37:00.000,38309040000
2010-06-06 11:38:00.000,3.5467764705882E10
2010-06-06 11:39:00.000,37643760000
2010-06-06 11:40:00.000,3.8546117647059E10
2010-06-06 11:41:00.000,3.8373176470588E10
2010-06-06 11:42:00.000,37104480000
2010-06-06 11:43:00.000,3.8096470588235E10
2010-06-06 11:44:00.000,3.7478823529412E10
2010-06-06 11:45:00.000,37250640000
2010-06-06 11:46:00.000,3.7251529411765E10
2010-06-06 11:47:00.000,38898720000
2010-06-06 11:48:00.000,3.8901882352941E10
2010-06-06 11:49:00.000,36676080000
2010-06-06 11:50:00.000,38601360000
2010-06-06 11:51:00.000,3.7893882352941E10
2010-06-06 11:52:00.000,36953280000
2010-06-06 11:53:00.000,3.8793176470588E10
2010-06-06 11:54:00.000,3.6683294117647E10
2010-06-06 11:55:00.000,3.9025411764706E10
2010-06-06 11:56:00.000,3.8185411764706E10
2010-06-06 11:57:00.000,3.5220705882353E10
2010-06-06 11:58:00.000,37049040000
2010-06-06 11:59:00.000,3.9129176470588E10
2010-06-06 12:00:00.000,36876000000
